case,seed,GWO,PSO,SGO,WOA
F5,27,29.121739489963915,11.915519043258392,30.964028713402325,20.704674058764333
F5,28,13.172222202819825,13.79221722975458,39.23533960870161,25.906208419060587
F5,29,20.57910277527781,68.50710371274164,33.5429472759188,22.14529547608976
F5,30,15.751220324965772,30.964961574728893,21.322236248501063,22.550388502773536
F5,31,13.553649837421023,22.702620356513275,37.221671624914926,26.493075569015573
F6,1,63.27623022850288,9.91839341326731,39.37620016908642,23.56616069371925
F6,2,48.85857926126832,24.70308116057946,18.86158276775217,43.92609716644409
F6,3,25.247388155955843,13.263736102299914,41.76887445430968,38.08764184941135
F6,4,27.99183960557477,22.77577683041308,32.25669660105203,23.65152219709325
F6,5,23.12921869939623,18.43429229371593,49.31256287441498,18.48970405798244
F6,6,26.51278671004371,18.644119157782413,52.640625474186095,24.259020283175403
F6,7,43.63388962383311,24.484649943783825,37.313445830087936,35.9298868317068
F6,8,18.50211890296056,21.4514386353822,52.409440646881656,30.67245283178373
F6,9,18.23675571404827,17.03741405995983,41.42777816085742,33.688809108254624
F6,10,23.836498513916712,13.397424697455271,51.52443785756169,40.14391056215438
F6,11,50.7935345130413,27.13343172241558,60.985051236063896,40.59308573603061
F6,12,50.80674478874704,30.659069514796265,58.862103659909714,26.228929205887813
F6,13,19.810828757742524,81.55210605311649,42.77374075205569,56.04439173510451
F6,14,23.97262634341225,19.287893018990903,22.55910723494982,23.212733036163925
F6,15,17.566900222040868,15.42818765170544,44.46396616408455,22.64652201466736
F6,16,36.7320027430695,15.991736044997346,26.474894324260497,20.04259663754589
F6,17,49.765454939734575,17.10888673154084,34.56485438450239,64.96233065844046
F6,18,21.30489137082364,15.688331369193596,39.29464920934583,24.45139672560008
F6,19,9.706618583123694,15.847129941078869,18.31989939789348,34.259556695761056
F6,20,29.034139136942432,15.148374904830863,37.22266002864061,34.05950309895711
F6,21,22.0930591886964,15.989670505176685,41.44743659496631,38.34364462531992
F6,22,15.944418196190677,10.53236431124132,34.070755994046294,38.194614222803146
F6,23,36.67643273595482,14.273070258789552,47.98710381430218,26.4768236466415
F6,24,21.75550194134152,88.17930013024197,77.61149356148545,36.94303853842518
F6,25,15.106040434595416,19.434241715810785,30.50679299133844,19.555847823376684
F6,26,13.533408469099648,27.7135557718973,44.247411825276224,25.20792433864985
F6,27,53.19239117984164,20.54559773226137,70.89373281080398,18.484258108681583
F6,28,17.150916820371307,24.99129689718393,49.70545504466632,28.913277054048866
F6,29,16.37854634904404,10.973570570935005,34.58425405653456,24.47288949631439
F6,30,20.36649150183528,6.843216036598838,54.33729446283123,38.78604397498828
F6,31,15.960520976126904,18.95921988118987,47.56948300231634,31.371119027444177
F7,1,63.22963751495648,15.055003102171357,21.84288405219782,24.17293345755968
F7,2,52.00242670912467,21.3332512410298,24.363540305789943,39.619227123148136
F7,3,28.66036312831724,11.213554387293316,55.78676478044342,34.18369651968851
F7,4,19.785692319973244,29.06749487601932,29.62890744710891,36.55382817370427
F7,5,14.945343240404618,18.44463817862037,31.92322118713383,49.08598057431392
F7,6,13.80408514112306,18.86499483555702,62.621655964435504,49.53058352526762
F7,7,58.87407451266712,29.025978463315404,39.73782510616642,40.59023318588677
F7,8,13.835399695042614,22.05226284123702,68.52172303651768,33.95863860391341
F7,9,15.753574510697122,17.28362602121001,44.436060737981386,46.85881012519034
F7,10,16.27665286336271,14.738964610686208,54.07116526931533,46.72931936939643
F7,11,45.928401196889446,24.12188260041342,55.2221588153385,39.78450505330041
F7,12,17.884124330180445,28.4130291958018,58.32621696166074,32.32332182151136
F7,13,21.119071798468568,25.32367871782758,48.486280134865794,53.23279303680455
F7,14,26.809240783762228,25.98792673662429,18.73941709336128,43.1784940573077
F7,15,18.022014355494203,15.7869410862258,34.33538386432587,22.170025471260164
F7,16,17.235773105505878,18.03188323999988,41.9509770526488,34.198287804811656
F7,17,32.95282322338722,17.38005482295525,43.17720180754706,63.08546074950614
F7,18,25.88286688794664,15.87547914795212,42.23595837545957,27.356440361291767
F7,19,21.413537588211163,16.399018103163367,19.747673879854965,36.654896212359866
F7,20,49.39685076429853,15.749555048653052,37.7302250786562,46.17598543588615
F7,21,22.73652118433604,51.273258325531984,42.40632557617849,62.09426787905561
F7,22,27.407516311649616,10.99191616809616,37.24127161812381,30.107357131301143
F7,23,16.069542516864274,14.725245405563337,54.48247032442421,33.380904208923745
F7,24,22.36966073120122,51.66036679367703,87.79658295325909,49.90338572932976
F7,25,15.305652895645672,12.612799490361152,28.4220099143087,28.72204653076667
F7,26,24.23652543700184,18.89662673448193,19.07193590316105,47.269216751152726
F7,27,18.048694670130825,27.372910838059745,75.86594370602654,47.71382337511453
F7,28,56.49429163310915,25.105260534841108,53.24013527301489,26.61464805810091
F7,29,16.697121952231385,18.788004231028182,33.36547103825279,25.44772006895069
F7,30,47.9418104257135,51.48588010288697,65.26227199713128,38.11432862318129
F7,31,16.157298925353107,19.391885993755967,53.41657088289395,38.43755928113359
F8,1,63.05833047327396,10.651859278742034,34.930494466652654,40.93823725818112
