system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
hvac,GWO,8,130,1000,11001000,0,0.056063974586699504,1000.0,17.34859013625343,20,1,1.0,tune
hvac,GWO,8,130,1000,11001001,1,0.05606362714727443,1000.0,17.366378978127614,20,1,1.0,tune
hvac,GWO,8,130,1000,11001002,2,0.05606402200025529,1000.0,17.463471018418204,20,1,1.0,tune
hvac,GWO,10,105,1000,11011000,0,0.05606371211244915,1000.0,17.09147732402198,20,1,1.0,tune
hvac,GWO,10,105,1000,11011001,1,0.05606408445156946,1000.0,17.05087576364167,20,1,1.0,tune
hvac,GWO,10,105,1000,11011002,2,0.05606342975286893,1000.0,16.998854943861563,20,1,1.0,tune
hvac,GWO,14,77,1000,11021000,0,0.05606201681504267,1000.0,16.95472701912513,20,1,1.0,tune
hvac,GWO,14,77,1000,11021001,1,0.05606309988620731,1000.0,16.926368764252402,20,1,1.0,tune
hvac,GWO,14,77,1000,11021002,2,0.05606276923775816,1000.0,16.99887612500849,20,1,1.0,tune
hvac,GWO,20,55,1000,11031000,0,0.056062764568478085,1000.0,16.909845243867796,20,1,1.0,tune
hvac,GWO,20,55,1000,11031001,1,0.05606303647058058,1000.0,16.847764586893998,20,1,1.0,tune
hvac,GWO,20,55,1000,11031002,2,0.05606250258706791,1000.0,16.895025955125067,20,1,1.0,tune
hvac,GWO,30,39,1000,11041000,0,0.056060363058041095,1000.0,16.680979141946107,20,1,1.0,tune
hvac,GWO,30,39,1000,11041001,1,0.0560619050152463,1000.0,16.682006001472473,20,1,1.0,tune
hvac,GWO,30,39,1000,11041002,2,0.05606076819692327,1000.0,16.789542639026575,20,1,1.0,tune
hvac,PSO,8,130,1000,11002000,0,0.056060986231441845,1000.0,4.405368346779142,20,1,1.0,tune
hvac,PSO,8,130,1000,11002001,1,0.056060423558814,1000.0,4.346550763313037,20,1,1.0,tune
hvac,PSO,8,130,1000,11002002,2,0.05606058162986424,1000.0,4.366489264551395,20,1,1.0,tune
hvac,PSO,10,105,1000,11012000,0,0.05606340951823119,1000.0,4.103323608695064,20,1,1.0,tune
hvac,PSO,10,105,1000,11012001,1,0.0560611498419335,1000.0,4.103396659619951,20,1,1.0,tune
hvac,PSO,10,105,1000,11012002,2,0.05606297613187383,1000.0,4.092415018531028,20,1,1.0,tune
hvac,PSO,14,77,1000,11022000,0,0.05606207866847072,1000.0,3.7981403590141176,20,1,1.0,tune
hvac,PSO,14,77,1000,11022001,1,0.05606267108439894,1000.0,3.796427774010226,20,1,1.0,tune
hvac,PSO,14,77,1000,11022002,2,0.05606116646037829,1000.0,3.785166132283242,20,1,1.0,tune
hvac,PSO,20,55,1000,11032000,0,0.05606210638880008,1000.0,3.569723104922256,20,1,1.0,tune
hvac,PSO,20,55,1000,11032001,1,0.05606286584061319,1000.0,3.575966894083346,20,1,1.0,tune
hvac,PSO,20,55,1000,11032002,2,0.056062253365228715,1000.0,3.5570024007271663,20,1,1.0,tune
hvac,PSO,30,39,1000,11042000,0,0.05606136000959788,1000.0,3.4176999614185966,20,1,1.0,tune
hvac,PSO,30,39,1000,11042001,1,0.056061452545125866,1000.0,3.421110401143475,20,1,1.0,tune
hvac,PSO,30,39,1000,11042002,2,0.05606204881642796,1000.0,3.41607225604821,20,1,1.0,tune
